metric	stage_order	score	CVB3	IVIG	delta_CVB3_minus_IVIG
q95	1	KYN_metabolism_score_expr	0.0	0.0	0.0
q95	1	Kyn_AHR_axis_score_expr	1.3578496678526977	1.3927891203660896	-0.03493945251339192
q95	1	Kyn_AHR_myeloid_score_expr	1.2290040432651843	1.254487196282291	-0.025483153017106686
q95	1	Kyn_AHR_myeloid_score_z	0.36491356492042565	0.3661411106586456	-0.0012275457382199262
q95	1	myeloid_inflammation_score_expr	0.5043435871601107	0.3908474087715145	0.11349617838859621
q95	2	AHR_regulon_proxy_score_expr	0.29361990690231315	0.3163977175951004	-0.022777810692787226
q95	2	AHR_response_score_expr	0.24195082485675812	0.24490249752998347	-0.002951672673225353
q95	2	KYN_metabolism_score_expr	0.0	0.0	0.0
q95	2	Kyn_AHR_axis_score_expr	1.3988995161741726	1.4118544605204266	-0.012954944346253994
q95	2	Kyn_AHR_myeloid_score_expr	1.259730247921723	1.2588729711598927	0.0008572767618302279
q95	2	Kyn_AHR_myeloid_score_z	0.36500952243804907	0.36977142989635436	-0.004761907458305292
q95	2	myeloid_inflammation_score_expr	0.40474653244018555	0.3666700989007949	0.038076433539390664
q95	3	AHR_regulon_proxy_score_expr	0.4079713448882103	0.3258591294288633	0.082112215459347
q95	3	AHR_response_score_expr	0.3784922733902931	0.23493022918701165	0.14356204420328147
q95	3	KYN_metabolism_score_expr	0.0	0.0	0.0
q95	3	Kyn_AHR_axis_score_expr	1.3249640331345214	1.35742099149932	-0.03245695836479867
q95	3	Kyn_AHR_myeloid_score_expr	1.2108202600157114	1.2394380049069686	-0.028617744891257235
q95	3	Kyn_AHR_myeloid_score_z	0.36667416989803314	0.3629028558731079	0.003771314024925254
q95	3	myeloid_inflammation_score_expr	0.5652469247579575	0.37784860134124754	0.18739832341670992
q95	4	AHR_regulon_proxy_score_expr	0.36590396165847733	0.3184590563178062	0.04744490534067114
q95	4	AHR_response_score_expr	0.3372974097728729	0.28125162422656985	0.05604578554630307
q95	4	KYN_metabolism_score_expr	0.0	0.0	0.0
