sample_id	group	stage	stage_order	score	threshold_level	threshold	n_bins	n_hotspot_bins	hotspot_fraction	hotspot_mean_score
CVB3d4	CVB3_myocarditis	day4	4	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	30363	615	0.020254915522181602	0.5215616512589338
CVB3d4	CVB3_myocarditis	day4	4	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	30363	7234	0.2382505022560353	0.4029455177974134
CVB3d4	CVB3_myocarditis	day4	4	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	30363	4995	0.16450943582649935	0.4571756271747975
CVB3d4	CVB3_myocarditis	day4	4	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	30363	1444	0.04755788294964266	0.6223762348459368
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	30363	2860	0.09419359088364128	1.6147956158530565
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	30363	1406	0.04630635971412574	2.103224198298947
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	30363	228	0.007509139413101472	3.4555090973324223
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	30363	3207	0.10562197411322992	1.3631693234092177
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	30363	1342	0.044198531106939366	1.822740881553075
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	30363	222	0.00731153048117775	2.7583667831365704
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	30363	3979	0.1310476566874156	0.39535273685321104
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	30363	1651	0.0543753911010111	0.586874721647392
CVB3d4	CVB3_myocarditis	day4	4	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	30363	232	0.007640878701050621	1.1912377687363789
CVB3d5	CVB3_myocarditis	day5	5	KYN_metabolism_score_expr	control_q90	0.0	21462	155	0.007222066908955363	0.26333320789760156
CVB3d5	CVB3_myocarditis	day5	5	KYN_metabolism_score_expr	control_q95	0.0	21462	155	0.007222066908955363	0.26333320789760156
CVB3d5	CVB3_myocarditis	day5	5	KYN_metabolism_score_expr	control_q99	0.0	21462	155	0.007222066908955363	0.26333320789760156
CVB3d5	CVB3_myocarditis	day5	5	AHR_response_score_expr	control_q90	0.2275528907775879	21462	3489	0.16256639642158233	0.3277485550056388
CVB3d5	CVB3_myocarditis	day5	5	AHR_response_score_expr	control_q95	0.2783159330487248	21462	2074	0.09663591463982854	0.3804681531459869
CVB3d5	CVB3_myocarditis	day5	5	AHR_response_score_expr	control_q99	0.4071645021438584	21462	562	0.026185816792470413	0.524204819174848
CVB3d5	CVB3_myocarditis	day5	5	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	21462	2410	0.11229149193924146	0.3361969375325931
CVB3d5	CVB3_myocarditis	day5	5	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	21462	1196	0.055726400149100734	0.40910073397151603
CVB3d5	CVB3_myocarditis	day5	5	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	21462	307	0.014304351877737397	0.5251510162695223
CVB3d5	CVB3_myocarditis	day5	5	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	21462	3401	0.158466126176498	0.37907266257546013
CVB3d5	CVB3_myocarditis	day5	5	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	21462	1885	0.08782965240890876	0.45863432420975964
CVB3d5	CVB3_myocarditis	day5	5	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	21462	573	0.026698350573105954	0.638198149193852
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	21462	2190	0.10204081632653061	1.6186542713777865
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	21462	988	0.04603485229708322	2.195052028290094
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	21462	201	0.009365389991613083	3.6521032705195924
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	21462	2126	0.09905880160283291	1.4273811337647453
